val40,val30,val20,val10,val0
7313.989621204113,7325.018654427603,7330.471265440604,7330.9308524132675,7319.003261757659
7335.191990682821,7314.50660177265,7335.181029118165,7337.979212794421,7319.288513088554
7323.552024120091,7324.559376252335,7332.78520566589,7315.035834442528,7315.508604874015
7333.282742354684,7325.124205681224,7321.683240503875,7307.472271760957,7318.353402135542
7314.003153943628,7316.791774753006,7336.374804658756,7306.396617727385,7321.943923792298
7333.977739245778,7331.330148132734,7332.121898374804,7337.751200087312,7307.318203842773
7334.142960511434,7316.247309965915,7316.941559263116,7322.084676934417,7310.835236712657
7313.28768542657,7332.755295582191,7329.980813511503,7312.142540388684,7308.630559243632
7335.72633595685,7311.38965603094,7322.876812764219,7329.244212245747,7323.484708831907
7321.61412855053,7321.324634832643,7333.589114788248,7311.565205484495,7310.901612996327
