val40,val30,val20,val10,val0
2047.606248959641,2047.171193738289,2051.9823163761307,2047.937451149227,2044.067797831465
2047.6458680950711,2048.4561461720064,2050.4262370385163,2048.0043519746546,2045.210124662141
2047.8591578968685,2048.433065461753,2047.0398842808263,2048.080629073636,2045.2739502700188
2050.239593077813,2048.296660492899,2049.796908009194,2048.495741139882,2040.8419910117784
2047.3734506560224,2050.4871288118798,2046.381584363444,2049.016074816043,2042.7052655877403
2051.391218733871,2047.8958231734516,2046.3223868520759,2048.4588635268638,2043.1826892387064
2047.7076159555395,2048.038315673231,2048.667065155511,2048.6781329506775,2042.5660958255228
2050.487305549044,2046.7379871524197,2048.2363415503924,2048.3240639971764,2043.9007628678894
2048.7832944372003,2047.7314806701056,2049.0827715209725,2048.9978234357604,2041.3778573300688
2048.5817728921215,2050.035747117852,2048.2981081933385,2048.5781438339122,2042.3905051578088
