val40,val35,val30,val25,val20,val18,val16,val14,val12
133.58602146120003,141.36563949986206,152.52531089812393,169.96296940158513,168.22255741169954,158.7604162924809,145.17103805552856,129.190208206232,107.30794334467411
130.15770322531515,141.33833554126053,155.94573264467843,171.48944880896804,167.5609913812744,158.9095703498017,145.51891830378617,128.31754048125106,107.27725256698464
132.14653904071858,136.47227580380854,155.9360263585692,170.49387518148313,167.4284873023703,158.14862348048672,145.957428591503,128.3776831892051,107.32274283692206
131.61284380279443,146.602548190251,155.7054831956648,169.27061345456957,167.690545575121,159.05576421714224,145.1939387345651,128.70604878897302,107.30696022020676
135.2801274607205,142.2128652797799,157.5889897144684,170.4028422392205,167.43228508304247,158.858217728628,146.68036942944642,128.55929060676792,107.24574358848314
131.28181124812292,140.72795051357622,158.2901844493963,169.69714024259372,168.0592162186183,158.7981317746738,145.14791929180896,128.8682483412083,106.18572396904432
132.34660131219238,136.22963125341877,156.5617332005025,171.37517799568988,167.53462040747218,158.616458993101,144.80417350426094,128.5161185386036,107.43112811930206
131.57055320719013,135.0125125135902,158.55167002254188,168.42730422956652,167.8461310286126,158.83986871666832,145.89869040236863,128.2790937097205,107.34997869559824
132.53819706238508,137.49830913347319,157.94043972228783,169.6153196029453,167.73772860868382,158.21599569838608,144.6940052282297,127.95930811488645,107.41765338046427
136.20845742382895,143.545226922234,155.381024467877,170.55443373833788,168.3663288381204,158.4182193743387,145.827470236297,127.90056130247807,107.004879309373
